meinaus_id	vwg_id	von	bis	objekt	name	soll	ok	nok	jan	feb	mrz	apr	mai	jun	jul	aug	sep	okt	nov	dez	summe
398	17	2019-01-01		thomasmann	194 (Thomas-Mann-Str. 2) / sig	-255,0	ok	nok													0
395	14	2019-01-01		linx	Hauseigent.gem. Ottweiler / mudter	-144,0	ok	nok													0
402	21	2019-01-01		scheidt_01	Hausmeisterdienste fürs ganze Haus / fritsche	-117,6	ok	nok													0
400	19	2019-01-01		ww224	Ralf Michael Voltmer -Treuhandkonten- WG Ww224 / voltmer	-378,0	ok	nok													0
413	26	2019-01-01		stadtpark	WEG Am Stadtpark / berlet	-210,0	ok	nok													0
389	8	2019-01-01		charlotte	WEG Charlottenstr. 6 Saarbrücken / hansen	-312,0	ok	nok													0
390	9	2019-01-01		gruelings	WEG Grülingsstr. 18-20 / gfh	-178,0	ok	nok	-178,0												-178,0
410	23	2019-01-01		heuschlag	WEG Heuschlag / vorrath	-292,0	ok	nok													0
391	10	2019-01-01		hohenzoll	WEG Hohenzollernstr. 103 / hehn	-251,0	ok	nok													0
392	11	2019-01-01		kuchenberg_s	WEG Kuchenbergstr. 1 W6 / palm	-450,0	ok	nok													0
393	12	2019-01-01		kuchenberg_w	WEG Kuchenbergstr. 1 W8 / palm	-350,0	ok	nok													0
409	22	2019-01-01		lamm	WEG Lammsgasse / lichtenhof	-358,5	ok	nok													0
394	13	2019-01-01		lampennest	WEG Lampennester Str. 12 / dulgheru	-221,0	ok	nok													0
411	24	2019-01-01		mendel_7	WEG Mendelstr. 24 / nittel	-116,13	ok	nok													0
412	25	2019-01-01		mendel_8	WEG Mendelstr. 24 / nittel	-146,21	ok	nok													0
396	15	2019-01-01		remigius	WEG Remigiusstr. 17-23 / herter	-182,0	ok	nok													0
388	7	2019-01-01		bueb	WEG Saargemünder Str. 133-133c / imoba	-101,0	ok	nok													0
397	16	2019-01-01		schwalbe	WEG Schwalbenweg 9, 10, 11 / naumann	-219,0	ok	nok													0
399	18	2019-01-01		volkerstal	WEG Volkerstal 1a u. 1b / gwi	-370,0	ok	nok													0
414	27	2019-01-01		wilhelmmarx	WEG Wilhelm-Marx-Str. 15 / hager	-190,0	ok	nok													0
401	20	2019-01-01		zweibrueck	WEG Zweibrücker Str. 3 / palm	-220,0	ok	nok													0
