w	u	Haus	Whg	Kreditor	Buchungstext	Rg.datum	Buch.datum	Betrag	Rg.text
		**alle**	**alle**	Post	Anschreiben alle Mieter	2020-12-01	2021-01-11	-40,00	50 Briefmarken bar
		NK_ThomasMann	thomasmann	KEW	10024818 / 903282 -- NK_Thomasmann	2021-01-05	2021-01-14	-0,25	Strom lief einen Tag auf mich (1.1.21)
		NK_Volkerstal	volkerstal	Voltmer	Vermittlung Volkerstal	2020-10-09	2021-01-15	-1392,00	
	u	NK_Kleist	kleist_alle	Ralf Walter	Schlotfeger Rg 20/01361 	2020-10-31	2021-01-15	-131,63	
w		NK_Kleist	kleist_21	Wilfried Küss	Reparatur Rolladengurte	2021-01-14	2021-01-15	-126,14	Reparatur Rolladengurte bei Th. Müller
		**alle**	**alle**	Haus und Grund	Beitrag	2021-01-04	2021-01-04	-15,75	
		**alle**	**alle**	TTSB Anklam	Büromaterial	2021-01-19	2021-01-19	-4,47	Büroklammern
w		SB_Charlotte	charlotte	Elektrotechnik Karl Schmidt	Rg 121020  Sicherungen eingesetzt Nachtspeicheröfen 	2021-01-21	2021-01-23	-123,66	
	u	ILL_Eich	eich_alle	R+V	29474015645 Haftpflicht -- ILL_Eich		2021-01-04	-84,05	
	u	ILL_Eich	eich_alle	techem	Miete Heizkostenverteiler  -- ILL_Eich	2021-01-11	2021-01-25	-90,89	Rg 76116842
	u	ILL_Eich	eich_alle	energis	Jahresrechnung -- Eich_alle	2020-12-22	2021-01-22	-69,68	Belegnr 21002072738
	u	NK_Kleist	kleist_alle	Vodafone Kabel Dtld	V-Nr. 770244263 / K-Nr. 708037371-2 -- NK_Kleist	2021-01-18	2021-01-18	-484,36	 Rg 100780213868
	u	SB_Kaiser	scheidt_alle	Thermomess	Rechnung Abrechnungsdienste -- SB_Kaiser	2021-01-04	2021-01-18	-538,08	Renr 21416610; nehme ich in die Abrechnung 2020 rein
	u	SB_Kaiser	scheidt_alle	Saarland Feuerversicherung	Vers. Nr. 01698766H002-- SB_Kaiser		2021-01-04	-61,30	
	u	SB_Kaiser	scheidt_alle	Energie SaarLorLux	VkNr.: 2120174686 -- SB_Kaiser		2021-01-04	-65,00	
		SB_Kaiser	scheidt_alle	Saarland Feuerversicherung	Vers. Nr. 01698766F002 -- SB_Kaiser		2021-01-08	-2438,13	
