mietobjekt_id	von	bis	netto_miete	nk_voraus
bueb	2019-01-01		240.0	100.0
charlotte	2019-01-01		375.0	125.0
eich_0	2019-01-01		306.0	194.0
eich_1	2019-01-01		465.0	195.0
eich_2	2019-01-01	2020-12-31	420.0	200.0
gruelings	2019-01-01		260.0	140.0
hohenzoll	2019-01-01		270.0	317.92
kleist_01	2019-01-01		210.0	50.0
kleist_02	2019-01-01		230.0	55.0
kleist_11	2019-01-01		265.0	50.0
kleist_12	2019-10-01		300.0	70.0
kleist_21	2020-07-01		300.0	50.0
kleist_22	2019-01-01		180.0	40.0
kleist_31	2019-01-01		200.0	51.0
kleist_32	2019-01-01		230.0	60.0
kuchenberg_s	2019-01-01		770.0	380.0
kuchenberg_w	2019-01-01		320.0	200.0
lampennest	2019-03-01		330.0	170.0
linx	2019-01-01		380.0	80.0
remigius	2020-07-01		480.0	70.0
scheidt_01	2019-12-01		540.0	140.0
scheidt_02	2019-01-01		286.0	124.0
scheidt_03	2019-01-01		420.0	180.0
scheidt_11	2019-01-01		300.0	175.0
scheidt_12	2019-01-01		340.0	160.0
scheidt_13	2019-01-01		383.0	267.0
scheidt_21	2019-01-01		520.0	230.0
scheidt_22	2019-01-01		190.0	110.0
scheidt_23	2018-11-01		500.0	160.0
schwalbe	2019-01-01		400.0	74.5
thomasmann	2021-01-01		450.0	150.0
volkerstal	2020-10-01		600.0	200.0
ww224	2019-08-01		425.0	200.0
zweibrueck	2019-01-01		320.0	160.0
